Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class retrofit.Utils$SynchronousExecutor,2192,1,0.18426361802286484,8.406186953597848E-5
class retrofit.RestAdapter$RestHandler,15894,1,1.336079354404842,8.406186953597848E-5
class [Ljava.lang.Object;,44,15,0.003698722259583053,0.0012609280430396772
class retrofit.RestAdapter$LogLevel,49179,4,4.134078681909886,3.362474781439139E-4
class retrofit.converter.GsonConverter,1675,1467,0.14080363147276395,0.12331876260928043
class retrofit.Platform$Base$1,1244,1,0.10457296570275723,8.406186953597848E-5
class retrofit.Server,13916,3,1.1698049764626766,2.5218560860793546E-4
class retrofit.RequestInterceptor$1,1581,1,0.132901815736382,8.406186953597848E-5
class java.util.ArrayList,76,1,0.006388702084734364,8.406186953597848E-5
class java.lang.String,2,2,1.6812373907195696E-4,1.6812373907195696E-4
class java.lang.Boolean,4673,2,0.3928211163416274,1.6812373907195696E-4
class java.util.concurrent.ThreadPoolExecutor,1518,1393,0.12760591795561532,0.11709818426361802
class retrofit.RestAdapter,27371,19485,2.300857431069267,1.6379455279085406
class retrofit.RestAdapter$Builder,168649,27792,14.176950235373235,2.336247478143914
class retrofit.Platform$Base$3,1493,1,0.12550437121721586,8.406186953597848E-5
class retrofit.ErrorHandler$1,1374,1,0.11550100874243444,8.406186953597848E-5
class java.lang.Class,398,13,0.033456624075319435,0.0010928043039677203
class retrofit.RestAdapter$Log$1,12798,1,1.0758238063214527,8.406186953597848E-5
class [Lretrofit.client.Header;,76,1,0.006388702084734364,8.406186953597848E-5
