Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class retrofit.RestAdapter$Builder,355,149,0.43935643564356436,0.1844059405940594
class retrofit.Server,169,42,0.20915841584158415,0.05198019801980198
class retrofit.SerializedObjectSupporter,86,1,0.10643564356435643,0.0012376237623762376
class retrofit.client.Response,35,3,0.043316831683168314,0.0037128712871287127
class retrofit.client.Request,1000,49,1.2376237623762376,0.06064356435643564
class retrofit.ErrorHandler$1,22,1,0.027227722772277228,0.0012376237623762376
class java.util.ArrayList,224,1,0.27722772277227725,0.0012376237623762376
class java.lang.String,496,7,0.6138613861386139,0.008663366336633664
class retrofit.RequestInterceptor$1,4,1,0.0049504950495049506,0.0012376237623762376
class retrofit.converter.GsonConverter,43,42,0.053217821782178217,0.05198019801980198
class retrofit.Platform$Base$3,10,1,0.012376237623762377,0.0012376237623762376
class retrofit.RestAdapter$RestHandler,807,17,0.9987623762376238,0.02103960396039604
class [Lretrofit.client.Header;,224,1,0.27722772277227725,0.0012376237623762376
class java.lang.Integer,35,1,0.043316831683168314,0.0012376237623762376
class retrofit.Platform$Base$1,11,1,0.013613861386138614,0.0012376237623762376
class java.util.concurrent.ThreadPoolExecutor,11,11,0.013613861386138614,0.013613861386138614
class retrofit.RestAdapter$LogLevel,92,4,0.11386138613861387,0.0049504950495049506
class retrofit.Utils$SynchronousExecutor,8,1,0.009900990099009901,0.0012376237623762376
class java.util.Collections$UnmodifiableRandomAccessList,178,1,0.2202970297029703,0.0012376237623762376
class [Ljava.lang.Object;,1,1,0.0012376237623762376,0.0012376237623762376
class java.lang.Class,19,7,0.023514851485148515,0.008663366336633664
class retrofit.RestAdapter$Log$1,17,1,0.02103960396039604,0.0012376237623762376
class retrofit.RestAdapter,452,60,0.5594059405940595,0.07425742574257425
class java.lang.Boolean,237,2,0.2933168316831683,0.0024752475247524753
