Methods called,Number of times,Number of times (Normalized)
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.addContextCustomizers(org.springframework.boot.context.embedded.tomcat.TomcatContextCustomizer[])",2391,0.27310108509423187
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.configureContext(org.apache.catalina.Context,org.springframework.boot.context.embedded.ServletContextInitializer[])",119,0.013592233009708738
"org.springframework.boot.context.embedded.tomcat.TomcatConnectorCustomizer[0]",1460,0.16676185037121644
"org.springframework.boot.context.embedded.tomcat.TomcatConnectorCustomizer[1]",231,0.026384922901199315
"public void org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.setRegisterDefaultServlet(boolean)",3773,0.4309537407195888
"public static final java.lang.String org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.DEFAULT_PROTOCOL",1,1.142204454597373E-4
"public boolean org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.isRegisterJspServlet()",3126,0.3570531125071388
"public void org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.addInitializers(org.springframework.boot.context.embedded.ServletContextInitializer[])",1850,0.211307824100514
"public org.springframework.boot.context.embedded.MimeMappings org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.getMimeMappings()",3060,0.34951456310679613
"public boolean org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.isRegisterDefaultServlet()",741,0.08463735008566534
"org.apache.catalina.LifecycleListener[2]",2,2.284408909194746E-4
"org.apache.catalina.LifecycleListener[1]",72,0.008223872073101084
"org.apache.catalina.LifecycleListener[4]",4,4.568817818389492E-4
"org.apache.catalina.LifecycleListener[3]",5,5.711022272986865E-4
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.setTomcatContextCustomizers(java.util.Collection)",821,0.09377498572244432
"org.apache.catalina.LifecycleListener[0]",718,0.08201027984009138
"public java.util.List org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.contextValves",2041,0.2331239291833238
"public java.util.List org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.contextValves",514,0.05870930896630497
"org.apache.catalina.Valve[1]",334,0.038149628783552256
"public void org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.addErrorPages(org.springframework.boot.context.embedded.ErrorPage[])",1802,0.2058252427184466
"org.apache.catalina.Valve[0]",882,0.10074243289548829
"public java.util.List org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.additionalTomcatConnectors",5392,0.6158766419189035
"public java.util.List org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.additionalTomcatConnectors",1154,0.13181039406053682
"org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory(java.lang.String, int)",29636,3.3850371216447743
"org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory(int)",484,0.05528269560251285
"org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory()",450,0.05139920045688178
"public java.util.List org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.contextLifecycleListeners",19147,2.1869788692175898
"public java.util.Collection org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.getValves()",858,0.09800114220445459
"public java.util.List org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.contextLifecycleListeners",2486,0.2839520274129069
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.configureSslKeyStore(org.apache.coyote.http11.AbstractHttp11JsseProtocol,org.springframework.boot.context.embedded.Ssl)",197,0.022501427755568248
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.setResourceLoader(org.springframework.core.io.ResourceLoader)",4992,0.5701884637350085
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.setBaseDirectory(java.io.File)",2000,0.2284408909194746
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory$StoreMergedWebXmlListener.onStart(org.apache.catalina.Context)",149,0.017018846373500856
"org.apache.catalina.LifecycleListener[6]",13,0.0014848657909765847
"org.apache.catalina.LifecycleListener[5]",1,1.142204454597373E-4
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.postProcessContext(org.apache.catalina.Context)",1757,0.20068532267275843
"java.util.ArrayList()",4579,0.5230154197601371
"public java.util.List org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.tomcatConnectorCustomizers",1275,0.14563106796116504
"public java.util.List org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.tomcatConnectorCustomizers",1676,0.1914334665905197
"public final native java.lang.Class java.lang.Object.getClass()",259,0.029583095374071958
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory$StoreMergedWebXmlListener.lifecycleEvent(org.apache.catalina.LifecycleEvent)",163,0.018617932609937177
"java.util.LinkedHashSet()",2463,0.28132495716733297
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.setTldSkip(java.lang.String)",737,0.08418046830382639
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.configureSslClientAuth(org.apache.coyote.http11.AbstractHttp11JsseProtocol,org.springframework.boot.context.embedded.Ssl)",233,0.026613363792118788
"org.springframework.boot.context.embedded.ErrorPage[0]",3521,0.40217018846373503
"public java.lang.String org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory$StoreMergedWebXmlListener.getEmptyWebXml()",1450,0.16561964591661907
"org.springframework.boot.context.embedded.ErrorPage[1]",68,0.007766990291262136
"org.apache.catalina.connector.Connector[1]",285,0.03255282695602513
"org.apache.catalina.connector.Connector[0]",332,0.03792118789263278
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.setUriEncoding(java.lang.String)",2710,0.30953740719588807
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.addJspServlet(org.apache.catalina.Context)",239,0.027298686464877212
"public void org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.setMimeMappings(org.springframework.boot.context.embedded.MimeMappings)",4061,0.46384922901199316
"public void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.addAdditionalTomcatConnectors(org.apache.catalina.connector.Connector[])",821,0.09377498572244432
"public java.util.Collection org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.getTomcatContextCustomizers()",1857,0.21210736721873216
"public final java.lang.String org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory$StoreMergedWebXmlListener.MERGED_WEB_XML",1008,0.11513420902341519
"public void org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.setErrorPages(java.util.Set)",4366,0.498686464877213
"public java.lang.String org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.getUriEncoding()",5013,0.572587093089663
