Methods called,Number of times,Number of times (Normalized)
"public long org.springframework.boot.jta.atomikos.AtomikosProperties$Recovery.getRetryInterval()",876,0.08544674209910261
"public long org.springframework.boot.jta.atomikos.AtomikosProperties$Recovery.getDelay()",1004,0.09793211080764729
"public synchronized java.lang.Object java.util.Hashtable.clone()",1963,0.19147483417869685
"public void java.util.Properties.save(java.io.OutputStream,java.lang.String)",220,0.02145922746781116
"public void org.springframework.boot.jta.atomikos.AtomikosProperties.setLogBaseDir(java.lang.String)",1680,0.16387046429964885
"public boolean org.springframework.boot.jta.atomikos.AtomikosProperties.isThreadedTwoPhaseCommit()",1038,0.10124853687085447
"public void org.springframework.boot.jta.atomikos.AtomikosProperties.setCheckpointInterval(long)",15583,1.5199960983222787
"public java.lang.String org.springframework.boot.jta.atomikos.AtomikosProperties.getOutputDir()",2839,0.27692157627779945
"public java.lang.String org.springframework.boot.jta.atomikos.AtomikosProperties.getConsoleFileName()",2386,0.23273507608271557
"public boolean org.springframework.boot.jta.atomikos.AtomikosProperties.isEnableLogging()",943,0.09198205228248146
"public synchronized void java.util.Properties.load(java.io.InputStream) throws java.io.IOException",216,0.021069059695669138
"public synchronized void java.util.Properties.load(java.io.Reader) throws java.io.IOException",254,0.02477565353101834
"public synchronized boolean java.util.Hashtable.isEmpty()",16096,1.5700351150994927
"public synchronized void java.util.Hashtable.clear()",2067,0.2016191962543894
"public void org.springframework.boot.jta.atomikos.AtomikosProperties.setForceShutdownOnVmExit(boolean)",2062,0.20113148653921187
"public void org.springframework.boot.jta.atomikos.AtomikosProperties$Recovery.setDelay(long)",1000,0.09754194303550527
"public java.lang.String org.springframework.boot.jta.atomikos.AtomikosProperties.getLogBaseName()",6249,0.6095396020288724
"public void org.springframework.boot.jta.atomikos.AtomikosProperties.setDefaultJtaTimeout(long)",1451,0.14153335934451813
"public void java.util.Properties.storeToXML(java.io.OutputStream,java.lang.String) throws java.io.IOException",236,0.02301989855637924
"public void java.util.Properties.storeToXML(java.io.OutputStream,java.lang.String,java.lang.String) throws java.io.IOException",228,0.0222395630120952
"public java.util.Set java.util.Hashtable.keySet()",2652,0.25868123293016
"org.springframework.boot.jta.atomikos.AtomikosProperties$Recovery()",3962,0.38646117830667187
"public java.util.Set java.util.Properties.stringPropertyNames()",1962,0.19137729223566133
"public long org.springframework.boot.jta.atomikos.AtomikosProperties.getMaxTimeout()",1134,0.11061256340226297
"public synchronized void java.util.Hashtable.putAll(java.util.Map)",10547,1.028774873195474
"public synchronized java.lang.Object java.util.Hashtable.get(java.lang.Object)",1728,0.1685524775653531
"public void org.springframework.boot.jta.atomikos.AtomikosProperties$Recovery.setMaxRetries(int)",1421,0.13860710105345297
"public void java.util.Properties.store(java.io.OutputStream,java.lang.String) throws java.io.IOException",251,0.02448302770191182
"public void java.util.Properties.store(java.io.Writer,java.lang.String) throws java.io.IOException",243,0.02370269215762778
"public java.util.Properties org.springframework.boot.jta.atomikos.AtomikosProperties.asProperties()",2758,0.26902067889192355
"public org.springframework.boot.jta.atomikos.AtomikosProperties$Recovery org.springframework.boot.jta.atomikos.AtomikosProperties.getRecovery()",2257,0.2201521654311354
"public void java.util.Properties.list(java.io.PrintWriter)",193,0.018825595005852517
"public void java.util.Properties.list(java.io.PrintStream)",220,0.02145922746781116
"public void org.springframework.boot.jta.atomikos.AtomikosProperties.setService(java.lang.String)",983,0.09588373000390167
"public java.lang.String org.springframework.boot.jta.atomikos.AtomikosProperties.getService()",935,0.09120171673819742
"public synchronized java.lang.Object java.util.Hashtable.replace(java.lang.Object,java.lang.Object)",1851,0.18055013655872024
"public synchronized boolean java.util.Hashtable.replace(java.lang.Object,java.lang.Object,java.lang.Object)",1427,0.13919235271166602
"public synchronized java.lang.Object java.util.Hashtable.getOrDefault(java.lang.Object,java.lang.Object)",968,0.0944206008583691
"public synchronized java.lang.Object java.util.Properties.setProperty(java.lang.String,java.lang.String)",1278,0.12465860319937573
"public void org.springframework.boot.jta.atomikos.AtomikosProperties.setAllowSubTransactions(boolean)",1490,0.14533749512290284
"public synchronized boolean java.util.Hashtable.remove(java.lang.Object,java.lang.Object)",3521,0.34344518142801406
"public int org.springframework.boot.jta.atomikos.AtomikosProperties.getConsoleFileCount()",2252,0.21966445571595786
"public synchronized java.lang.Object java.util.Hashtable.remove(java.lang.Object)",1708,0.166601638704643
"public void org.springframework.boot.jta.atomikos.AtomikosProperties.setConsoleFileCount(int)",1243,0.12124463519313304
"public long org.springframework.boot.jta.atomikos.AtomikosProperties$Recovery.getForgetOrphanedLogEntriesDelay()",691,0.06740148263753414
"public void org.springframework.boot.jta.atomikos.AtomikosProperties.setConsoleFileName(java.lang.String)",5675,0.5535505267264924
"public boolean org.springframework.boot.jta.atomikos.AtomikosProperties.isSerialJtaTransactions()",1230,0.11997658993367148
"public boolean org.springframework.boot.jta.atomikos.AtomikosProperties.isForceShutdownOnVmExit()",1137,0.1109051892313695
"public synchronized void java.util.Properties.loadFromXML(java.io.InputStream) throws java.io.IOException,java.util.InvalidPropertiesFormatException",232,0.02262973078423722
