Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.Boolean,34831,2,3.5629091653027825,2.0458265139116204E-4
class java.util.Hashtable$Enumerator,10569,1368,1.0811170212765957,0.13993453355155483
class java.util.Collections$SynchronizedCollection,4588,4549,0.4693126022913257,0.46532324058919805
class java.lang.String,11537,69,1.1801350245499183,0.00705810147299509
class java.lang.Integer,4643,12,0.47493862520458263,0.0012274959083469722
class java.util.Collections$SynchronizedSet,4835,364,0.4945785597381342,0.03723404255319149
class org.springframework.boot.jta.atomikos.AtomikosProperties,34618,2850,3.5411211129296234,0.2915302782324059
class java.lang.Double,1249,1,0.12776186579378068,1.0229132569558102E-4
class java.util.Properties,58725,8532,6.007058101472995,0.8727495908346972
class java.lang.Class,228,6,0.023322422258592473,6.137479541734861E-4
class java.lang.Long,9737,15,0.9960106382978723,0.0015343698854337151
class java.util.Collections$EmptyEnumeration,689,1,0.07047872340425532,1.0229132569558102E-4
