Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class com.mongodb.MongoClientOptions,6135,155,0.9508679479231246,0.024023558586484813
class java.lang.String,2965,4,0.45954742715437075,6.199628022318661E-4
class com.mongodb.ReadConcern,883,1,0.13685678859268444,1.5499070055796651E-4
class java.lang.Integer,10869,16,1.684593924364538,0.0024798512089274642
class org.springframework.boot.autoconfigure.mongo.MongoProperties,2341,574,0.3628332300061996,0.08896466212027278
class com.mongodb.WriteConcern,1096,2,0.1698698078115313,3.0998140111593303E-4
class javax.net.DefaultSocketFactory,1651,1,0.2558896466212027,1.5499070055796651E-4
class [C,390,10,0.060446373217606944,0.0015499070055796653
class com.mongodb.MongoClientOptions$Builder,73283,2254,11.35818350898946,0.3493490390576565
class com.mongodb.ReadPreference$PrimaryReadPreference,1061,1,0.16444513329200247,1.5499070055796651E-4
class java.util.Collections$UnmodifiableRandomAccessList,996,1,0.15437073775573465,1.5499070055796651E-4
class com.mongodb.DefaultDBDecoder$1,896,1,0.138871667699938,1.5499070055796651E-4
class java.lang.Boolean,5845,2,0.9059206447613143,3.0998140111593303E-4
class java.lang.Class,157,11,0.024333539987600745,0.0017048977061376318
class org.bson.codecs.configuration.ProvidersCodecRegistry,1991,1,0.30858648481091133,1.5499070055796651E-4
class com.mongodb.MongoClient,584,584,0.09051456912585244,0.09051456912585244
class com.mongodb.DefaultDBEncoder$1,2022,1,0.3133911965282083,1.5499070055796651E-4
