Methods called,Number of times,Number of times (Normalized)
"public int com.mongodb.MongoClientOptions.getHeartbeatConnectTimeout()",1044,0.12275132275132275
"public com.mongodb.MongoClientOptions$Builder com.mongodb.MongoClientOptions$Builder.minConnectionsPerHost(int)",753,0.08853615520282188
"public java.lang.String org.springframework.boot.autoconfigure.mongo.MongoProperties.getAuthenticationDatabase()",1686,0.19823633156966491
"public java.lang.String org.springframework.boot.autoconfigure.mongo.MongoProperties.uri",1445,0.16990005878894768
"public boolean com.mongodb.MongoClientOptions.equals(java.lang.Object)",1399,0.1644914756025867
"public java.lang.String org.springframework.boot.autoconfigure.mongo.MongoProperties.uri",431,0.05067607289829512
"public com.mongodb.MongoClientOptions$Builder com.mongodb.MongoClientOptions$Builder.socketKeepAlive(boolean)",768,0.09029982363315697
"public java.lang.String com.mongodb.MongoClientOptions.toString()",565,0.06643151087595532
"public void org.springframework.boot.autoconfigure.mongo.MongoProperties.setPassword(char[])",1198,0.1408583186360964
"public com.mongodb.MongoClientOptions$Builder com.mongodb.MongoClientOptions$Builder.socketTimeout(int)",893,0.10499706055261611
"public com.mongodb.MongoClientOptions$Builder com.mongodb.MongoClientOptions$Builder.acceptableLatencyDifference(int)",965,0.11346266901822458
"public int com.mongodb.MongoClientOptions.getHeartbeatSocketTimeout()",1263,0.14850088183421517
"public com.mongodb.MongoClientOptions$Builder com.mongodb.MongoClientOptions$Builder.alwaysUseMBeans(boolean)",10023,1.1784832451499119
"public com.mongodb.MongoClientOptions$Builder com.mongodb.MongoClientOptions$Builder.maxConnectionLifeTime(int)",584,0.06866549088771311
"public com.mongodb.MongoClientOptions$Builder com.mongodb.MongoClientOptions$Builder.localThreshold(int)",6938,0.8157554379776601
"public java.lang.String org.springframework.boot.autoconfigure.mongo.MongoProperties.getDatabase()",452,0.05314520870076426
"public boolean com.mongodb.MongoClientOptions.isAlwaysUseMBeans()",501,0.05890652557319224
"public com.mongodb.MongoClientOptions$Builder com.mongodb.MongoClientOptions$Builder.heartbeatConnectTimeout(int)",1223,0.14379776601998825
"public int org.springframework.boot.autoconfigure.mongo.MongoProperties.determinePort(org.springframework.core.env.Environment)",761,0.08947677836566725
"public com.mongodb.MongoClientOptions$Builder com.mongodb.MongoClientOptions$Builder.readPreference(com.mongodb.ReadPreference)",590,0.06937095825984715
"public void org.springframework.boot.autoconfigure.mongo.MongoProperties.setHost(java.lang.String)",1258,0.1479129923574368
"public com.mongodb.ReadPreference com.mongodb.MongoClientOptions.getReadPreference()",1089,0.12804232804232804
"public com.mongodb.MongoClientOptions$Builder com.mongodb.MongoClientOptions$Builder.maxWaitTime(int)",633,0.07442680776014109
"public int org.springframework.boot.autoconfigure.mongo.MongoProperties.getDEFAULT_PORT()",1248,0.14673721340388007
"public java.lang.String org.springframework.boot.autoconfigure.mongo.MongoProperties.gridFsDatabase",312,0.03668430335097002
"public java.lang.String org.springframework.boot.autoconfigure.mongo.MongoProperties.gridFsDatabase",793,0.09323927101704879
"char[2]",59,0.0069370958259847145
"public java.lang.Integer org.springframework.boot.autoconfigure.mongo.MongoProperties.getPort()",448,0.05267489711934156
"char[1]",115,0.01352145796590241
"char[0]",11,0.0012933568489124044
"public java.lang.String org.springframework.boot.autoconfigure.mongo.MongoProperties.authenticationDatabase",1661,0.19529688418577307
"public void org.springframework.boot.autoconfigure.mongo.MongoProperties.setPort(java.lang.Integer)",398,0.046796002351557904
