Methods called,Number of times,Number of times (Normalized)
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.getNonRecursiveManifestEvenIfNonRecursive() throws java.lang.Exception",984,0.05025279607783055
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.copy(java.io.InputStream,java.io.OutputStream) throws java.io.IOException",972,0.04963995710127164
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.getResourceAsStreamNonRecursive() throws java.lang.Exception",1016,0.051887033348654306
"public org.springframework.boot.loader.archive.ExplodedArchive org.springframework.boot.loader.archive.ExplodedArchiveTests.getarchive()",18302,0.934681579081763
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.getUrlWithSpaceInPath() throws java.lang.Exception",957,0.048873908380573004
"public java.io.File org.springframework.boot.loader.archive.ExplodedArchiveTests.getrootFolder()",66955,3.419386139625147
"public java.util.Map org.springframework.boot.loader.archive.ExplodedArchiveTests.getEntriesMap(org.springframework.boot.loader.archive.Archive)",956,0.04882283846585976
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.settemporaryFolder(org.junit.rules.TemporaryFolder)",19656,1.0038302436034932
"public java.io.File org.springframework.boot.loader.archive.ExplodedArchiveTests.rootFolder",20517,1.047801440171595
"public java.io.File org.springframework.boot.loader.archive.ExplodedArchiveTests.rootFolder",36091,1.8431642919156326
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.getManifest() throws java.lang.Exception",1034,0.052806291813492674
"public org.springframework.boot.loader.archive.ExplodedArchive org.springframework.boot.loader.archive.ExplodedArchiveTests.archive",14100,0.7200857974567183
"public org.springframework.boot.loader.archive.ExplodedArchive org.springframework.boot.loader.archive.ExplodedArchiveTests.archive",9570,0.48873908380573006
"public final native java.lang.Class java.lang.Object.getClass()",970,0.049537817271845155
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.getNestedArchive() throws java.lang.Exception",963,0.04918032786885246
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.setarchive(org.springframework.boot.loader.archive.ExplodedArchive)",26401,1.3482968183443134
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.getUrl() throws java.lang.Exception",909,0.04642255247433737
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.getEntries() throws java.lang.Exception",938,0.0479035800010214
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.createArchive() throws java.lang.Exception",932,0.047597160512741946
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.createArchive(java.lang.String) throws java.lang.Exception",968,0.04943567744241867
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.setrootFolder(java.io.File)",13354,0.6819876410806394
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.setup() throws java.lang.Exception",949,0.048465349062867064
"org.springframework.boot.loader.archive.ExplodedArchiveTests()",56639,2.892548899443338
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.nestedDirArchive() throws java.lang.Exception",951,0.04856748889229355
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.getResourceAsStream() throws java.lang.Exception",981,0.05009958633369082
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.getFilteredArchive() throws java.lang.Exception",1012,0.05168275368980134
"public void org.springframework.boot.loader.archive.ExplodedArchiveTests.getNonRecursiveManifest() throws java.lang.Exception",952,0.048618558807006794
"public org.junit.rules.TemporaryFolder org.springframework.boot.loader.archive.ExplodedArchiveTests.temporaryFolder",78911,4.029978039936673
"public org.junit.rules.TemporaryFolder org.springframework.boot.loader.archive.ExplodedArchiveTests.gettemporaryFolder()",113043,5.773096368929064
"public org.junit.rules.TemporaryFolder org.springframework.boot.loader.archive.ExplodedArchiveTests.temporaryFolder",19463,0.9939737500638374
