Methods called,Number of times,Number of times (Normalized)
"public final java.io.InputStream java.net.URL.openStream() throws java.io.IOException",26,0.01742627345844504
"public java.lang.String java.net.URL.getAuthority()",47,0.03150134048257373
"public java.lang.String java.net.URL.getProtocol()",38,0.02546916890080429
"public java.util.List org.springframework.boot.loader.archive.ExplodedArchive.getNestedArchives(org.springframework.boot.loader.archive.Archive$EntryFilter) throws java.io.IOException",42,0.028150134048257374
"public final java.lang.String org.springframework.boot.loader.archive.ExplodedArchive$FileEntry.name",88,0.058981233243967826
"public void org.springframework.boot.loader.archive.ExplodedArchive$FileEntryIterator.setcurrent(java.io.File)",35,0.023458445040214475
"public java.lang.String java.net.URL.getFile()",100,0.06702412868632708
"public java.lang.String org.springframework.boot.loader.archive.ExplodedArchive$FileEntry.getName()",66,0.04423592493297587
"public java.io.File org.springframework.boot.loader.archive.ExplodedArchive$FileEntryIterator.getcurrent()",185,0.1239946380697051
"public final boolean org.springframework.boot.loader.archive.ExplodedArchive.recursive",40,0.02680965147453083
"public java.io.File org.springframework.boot.loader.archive.ExplodedArchive$FileEntryIterator.getroot()",28,0.01876675603217158
"public static final java.util.Set org.springframework.boot.loader.archive.ExplodedArchive.SKIPPED_NAMES",1,6.702412868632708E-4
"public int org.springframework.boot.loader.archive.ExplodedArchive$FileEntryIterator$EntryComparator.compare(java.io.File,java.io.File)",169,0.11327077747989277
"public default java.util.Comparator java.util.Comparator.reversed()",25,0.01675603217158177
"public java.io.File org.springframework.boot.loader.archive.ExplodedArchive.manifestFile",43,0.028820375335120642
"public java.io.File org.springframework.boot.loader.archive.ExplodedArchive.manifestFile",40,0.02680965147453083
"public org.springframework.boot.loader.archive.Archive org.springframework.boot.loader.archive.ExplodedArchive.getNestedArchive(org.springframework.boot.loader.archive.Archive$Entry) throws java.io.IOException",30,0.020107238605898123
"public java.util.jar.Manifest org.springframework.boot.loader.archive.ExplodedArchive.getManifest() throws java.io.IOException",46,0.030831099195710455
"public java.io.File org.springframework.boot.loader.archive.ExplodedArchive$FileEntryIterator.poll()",45,0.030160857908847184
"public org.springframework.boot.loader.archive.ExplodedArchive org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectExplodedArchive8() throws java.io.IOException",2926,1.9611260053619304
"public int java.net.URL.getDefaultPort()",58,0.0388739946380697
"public final java.io.File org.springframework.boot.loader.archive.ExplodedArchive$FileEntryIterator.root",36,0.024128686327077747
"public java.io.File org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectFile1() throws java.io.IOException",189,0.12667560321715818
"public org.springframework.boot.loader.archive.SerializedObjectSupporter org.springframework.boot.loader.archive.ExplodedArchive$FileEntryIterator$EntryComparator.serializedObjectSupporter",479,0.3210455764075067
"public org.springframework.boot.loader.archive.SerializedObjectSupporter org.springframework.boot.loader.archive.ExplodedArchive$FileEntryIterator$EntryComparator.serializedObjectSupporter",128,0.08579088471849866
"public java.io.File org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectFile3() throws java.io.IOException",117,0.07841823056300268
"public org.springframework.boot.loader.archive.ExplodedArchive org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectExplodedArchive9() throws java.io.IOException",1340,0.8981233243967829
"public java.io.File org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectFile4() throws java.io.IOException",41,0.027479892761394103
"public java.io.File org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectFile2() throws java.io.IOException",123,0.0824396782841823
"public java.io.File org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectFile7() throws java.io.IOException",52,0.03485254691689008
"org.springframework.boot.loader.archive.ExplodedArchive(java.io.File)",30,0.020107238605898123
"org.springframework.boot.loader.archive.ExplodedArchive(java.io.File, boolean)",23,0.015415549597855228
"public java.io.File org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectFile8() throws java.io.IOException",119,0.07975871313672922
"public java.io.File org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectFile5() throws java.io.IOException",45,0.030160857908847184
"org.springframework.boot.loader.archive.SerializedObjectSupporter()",2473,1.6575067024128687
"public java.io.File org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectFile6() throws java.io.IOException",154,0.1032171581769437
"public org.springframework.boot.loader.archive.ExplodedArchive org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectExplodedArchive1() throws java.io.IOException",100,0.06702412868632708
"public final native java.lang.Class java.lang.Object.getClass()",304,0.2037533512064343
"public java.io.File org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectFile9() throws java.io.IOException",2437,1.633378016085791
"public java.io.File org.springframework.boot.loader.archive.ExplodedArchive$FileEntry.getFile()",72,0.04825737265415549
"public org.springframework.boot.loader.archive.ExplodedArchive org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectExplodedArchive2() throws java.io.IOException",243,0.1628686327077748
"public java.lang.String java.net.URL.toExternalForm()",421,0.282171581769437
"public org.springframework.boot.loader.archive.ExplodedArchive org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectExplodedArchive3() throws java.io.IOException",114,0.07640750670241286
"public org.springframework.boot.loader.archive.ExplodedArchive org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectExplodedArchive4() throws java.io.IOException",63,0.04222520107238606
"public org.springframework.boot.loader.archive.ExplodedArchive org.springframework.boot.loader.archive.SerializedObjectSupporter.deserializeObjectExplodedArchive5() throws java.io.IOException",107,0.07171581769436998
