Methods called,Number of times,Number of times (Normalized)
"public javax.net.ssl.KeyManager[] org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory.getKeyManagers()",30,0.01266891891891892
"public final java.lang.String org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory$JarResourceManager.jarPath",98,0.041385135135135136
"public org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory org.springframework.boot.context.embedded.undertow.SerializedObjectSupporter.deserializeObjectUndertowEmbeddedServletContainerFactory26() throws java.io.IOException",610,0.25760135135135137
"public void org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.setRegisterDefaultServlet(boolean)",54,0.022804054054054054
"public org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory org.springframework.boot.context.embedded.undertow.SerializedObjectSupporter.deserializeObjectUndertowEmbeddedServletContainerFactory25() throws java.io.IOException",713,0.30109797297297297
"public java.util.Collection org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory.getDeploymentInfoCustomizers()",104,0.04391891891891892
"public org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory org.springframework.boot.context.embedded.undertow.SerializedObjectSupporter.deserializeObjectUndertowEmbeddedServletContainerFactory24() throws java.io.IOException",63,0.02660472972972973
"public org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory org.springframework.boot.context.embedded.undertow.SerializedObjectSupporter.deserializeObjectUndertowEmbeddedServletContainerFactory23() throws java.io.IOException",131,0.05532094594594594
"public org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory org.springframework.boot.context.embedded.undertow.SerializedObjectSupporter.deserializeObjectUndertowEmbeddedServletContainerFactory22() throws java.io.IOException",3062,1.2930743243243243
"public org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory org.springframework.boot.context.embedded.undertow.SerializedObjectSupporter.deserializeObjectUndertowEmbeddedServletContainerFactory21() throws java.io.IOException",88,0.037162162162162164
"public org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory org.springframework.boot.context.embedded.undertow.SerializedObjectSupporter.deserializeObjectUndertowEmbeddedServletContainerFactory20() throws java.io.IOException",592,0.25
"public void org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory.configureAccessLog(io.undertow.servlet.api.DeploymentInfo)",20,0.008445945945945946
"public java.util.Collections org.springframework.boot.context.embedded.undertow.SerializedObjectSupporter.deserializeObjectSet1() throws java.io.IOException",27,0.011402027027027027
"public java.lang.String org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.getDisplayName()",26,0.01097972972972973
"public void org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.addInitializers(org.springframework.boot.context.embedded.ServletContextInitializer[])",178,0.07516891891891891
"public boolean org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.isRegisterDefaultServlet()",36,0.015202702702702704
"public org.springframework.boot.context.embedded.MimeMappings org.springframework.boot.context.embedded.AbstractConfigurableEmbeddedServletContainer.getMimeMappings()",82,0.03462837837837838
"public org.xnio.XnioWorker org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory.createWorker() throws java.io.IOException",66,0.02787162162162162
