Methods called,Number of times,Number of times (Normalized)
"LATEST",15859,0.8706082564778217
"public org.apache.storm.kafka.spout.KafkaSpoutConfig$FirstPollOffsetStrategy org.apache.storm.kafka.spout.KafkaSpoutConfig.firstPollOffsetStrategy",3554,0.1951032059727712
"public org.apache.storm.kafka.spout.KafkaSpoutConfig$FirstPollOffsetStrategy org.apache.storm.kafka.spout.KafkaSpoutConfig.firstPollOffsetStrategy",1717,0.09425779534475187
"public java.lang.String org.apache.storm.kafka.spout.KafkaSpoutConfig.toString()",2297,0.12609793588054458
"public org.apache.kafka.common.serialization.Deserializer org.apache.storm.kafka.spout.KafkaSpoutConfig.valueDeserializer",2511,0.13784584980237155
"public org.apache.kafka.common.serialization.Deserializer org.apache.storm.kafka.spout.KafkaSpoutConfig.valueDeserializer",4222,0.23177426438296003
"public static long org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_OFFSET_COMMIT_PERIOD_MS",1,5.489679402722881E-5
"public static long org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_OFFSET_COMMIT_PERIOD_MS",34,0.0018664909969257795
"public org.apache.storm.kafka.spout.KafkaSpoutRetryService org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.retryService",2230,0.12241985068072024
"public org.apache.storm.kafka.spout.KafkaSpoutRetryService org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.retryService",2312,0.12692138779095302
"public static final java.lang.String org.apache.storm.kafka.spout.KafkaSpoutConfig$Consumer.GROUP_ID",1,5.489679402722881E-5
"public org.apache.storm.kafka.spout.KafkaSpoutStreams org.apache.storm.kafka.spout.KafkaSpoutConfig.getKafkaSpoutStreams()",9955,0.5464975845410628
"public int org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.maxUncommittedOffsets",15749,0.8645696091348265
"public int org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.maxUncommittedOffsets",2522,0.13844971453667107
"public java.util.List org.apache.storm.kafka.spout.KafkaSpoutConfig.getSubscribedTopics()",2473,0.13575977162933683
"org.apache.storm.kafka.spout.KafkaSpoutConfig(org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder)",148,0.008124725516029864
"org.apache.storm.kafka.spout.KafkaSpoutConfig()",11750,0.6450373298199386
"public static int org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_MAX_UNCOMMITTED_OFFSETS",23,0.0012626262626262627
"public static int org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_MAX_UNCOMMITTED_OFFSETS",1,5.489679402722881E-5
"public long org.apache.storm.kafka.spout.KafkaSpoutConfig.pollTimeoutMs",2265,0.12434123847167325
"public long org.apache.storm.kafka.spout.KafkaSpoutConfig.pollTimeoutMs",2347,0.12884277558190602
"public java.util.Map org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.kafkaProps",2190,0.12022397891963109
"public java.util.Map org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.kafkaProps",2230,0.12241985068072024
"public long org.apache.storm.kafka.spout.KafkaSpoutConfig.offsetCommitPeriodMs",4865,0.26707290294246816
"public long org.apache.storm.kafka.spout.KafkaSpoutConfig.offsetCommitPeriodMs",4732,0.2597716293368467
"public static final java.lang.String org.apache.storm.kafka.spout.KafkaSpoutConfig$Consumer.AUTO_COMMIT_INTERVAL_MS",1,5.489679402722881E-5
"public org.apache.kafka.common.serialization.Deserializer org.apache.storm.kafka.spout.KafkaSpoutConfig.keyDeserializer",1920,0.10540184453227931
"public org.apache.kafka.common.serialization.Deserializer org.apache.storm.kafka.spout.KafkaSpoutConfig.keyDeserializer",2551,0.1400417215634607
"public org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.setKeyDeserializer(org.apache.storm.kafka.spout.SerializableDeserializer)",3529,0.19373078612209046
"public org.apache.storm.kafka.spout.KafkaSpoutConfig org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.build()",560,0.030742204655248132
"public org.apache.storm.kafka.spout.KafkaSpoutTuplesBuilder org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.tuplesBuilder",2888,0.1585419411506368
"public org.apache.storm.kafka.spout.KafkaSpoutTuplesBuilder org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.tuplesBuilder",2446,0.13427755819060166
"public org.apache.storm.kafka.spout.KafkaSpoutStreams org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.kafkaSpoutStreams",9631,0.5287110232762406
"public org.apache.storm.kafka.spout.KafkaSpoutStreams org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.kafkaSpoutStreams",3900,0.21409749670619235
"public static long org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_POLL_TIMEOUT_MS",1,5.489679402722881E-5
