Methods called,Number of times,Number of times (Normalized)
"public java.lang.Class org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.valueDesClazz",752,0.05642680273129737
"public org.apache.storm.kafka.spout.SerializableDeserializer org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.keyDes",1508,0.1131537480303144
"public org.apache.storm.kafka.spout.SerializableDeserializer org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.keyDes",447,0.03354093194267277
"public int org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.maxUncommittedOffsets",648,0.048623095970586026
"public int org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.maxUncommittedOffsets",563,0.04224506640654311
"public long org.apache.storm.kafka.spout.KafkaSpoutConfig.pollTimeoutMs",981,0.0736099647332483
"public static int org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_MAX_UNCOMMITTED_OFFSETS",24,0.001800855406318001
"public static int org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_MAX_UNCOMMITTED_OFFSETS",1,7.503564192991671E-5
"public long org.apache.storm.kafka.spout.KafkaSpoutConfig.pollTimeoutMs",447,0.03354093194267277
"public java.util.Map org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.kafkaProps",7459,0.5596908531552487
"public java.util.Map org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.kafkaProps",316,0.02371126284985368
"public org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.setSecurityProtocol(java.lang.String)",2103,0.15779995497861485
"public static org.apache.storm.kafka.spout.KafkaSpoutRetryService org.apache.storm.kafka.spout.KafkaSpoutConfig.UNIT_TEST_RETRY_SERVICE",1,7.503564192991671E-5
"public static org.apache.storm.kafka.spout.KafkaSpoutRetryService org.apache.storm.kafka.spout.KafkaSpoutConfig.UNIT_TEST_RETRY_SERVICE",1,7.503564192991671E-5
"public org.apache.storm.kafka.spout.RecordTranslator org.apache.storm.kafka.spout.KafkaSpoutConfig.getTranslator()",1231,0.09236887521572747
"public org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.setSSLKeystore(java.lang.String,java.lang.String,java.lang.String)",4636,0.34786523598709385
"public org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.setSSLKeystore(java.lang.String,java.lang.String)",929,0.06970811135289262
"public static long org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_POLL_TIMEOUT_MS",36,0.0027012831094770018
"public static long org.apache.storm.kafka.spout.KafkaSpoutConfig.DEFAULT_POLL_TIMEOUT_MS",1,7.503564192991671E-5
"public java.lang.Class org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.keyDesClazz",5154,0.38673369850679074
"public org.apache.storm.kafka.spout.Subscription org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.subscription",2611,0.19591806107901252
"public org.apache.storm.kafka.spout.Subscription org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.subscription",1646,0.1235086666166429
"public org.apache.storm.kafka.spout.RecordTranslator org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.translator",760,0.0570270878667367
"public org.apache.storm.kafka.spout.RecordTranslator org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.translator",1501,0.11262849853680498
"public org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.setFetchMinBytes(int)",851,0.06385533128235912
"public long org.apache.storm.kafka.spout.KafkaSpoutConfig$Builder.offsetCommitPeriodMs",709,0.053200270128310946
