Methods called,Number of times,Number of times (Normalized)
"org.apache.storm.kafka.spout.KafkaSpout$Timer(org.apache.storm.kafka.spout.KafkaSpout)",43,0.012236767216846899
"org.apache.storm.kafka.spout.KafkaSpout$Timer(org.apache.storm.kafka.spout.KafkaSpout, long, long, java.util.concurrent.TimeUnit)",45,0.012805919180421172
"public transient org.apache.storm.kafka.spout.KafkaSpoutConfig$FirstPollOffsetStrategy org.apache.storm.kafka.spout.KafkaSpout.firstPollOffsetStrategy",227,0.06459874786568014
"public transient org.apache.storm.kafka.spout.KafkaSpoutConfig$FirstPollOffsetStrategy org.apache.storm.kafka.spout.KafkaSpout.firstPollOffsetStrategy",102,0.02902675014228799
"public int org.apache.storm.kafka.spout.KafkaSpout$OffsetComparator.compare(org.apache.storm.kafka.spout.KafkaSpoutMessageId,org.apache.storm.kafka.spout.KafkaSpoutMessageId)",100,0.028457598178713718
"public void org.apache.storm.kafka.spout.KafkaSpout.emit()",36,0.010244735344336939
"public java.lang.Object org.apache.kafka.clients.consumer.ConsumerRecord.key()",708,0.20147979510529312
"public void org.apache.storm.kafka.spout.KafkaSpout.commitOffsetsForAckedTuples()",26,0.007398975526465566
"public org.apache.storm.kafka.spout.KafkaSpoutConfig org.apache.storm.kafka.spout.KafkaSpout.kafkaSpoutConfig",366,0.1041548093340922
"public org.apache.storm.kafka.spout.KafkaSpoutConfig org.apache.storm.kafka.spout.KafkaSpout.kafkaSpoutConfig",139,0.03955606146841206
"public void org.apache.storm.kafka.spout.KafkaSpout.nextTuple()",34,0.009675583380762664
"org.apache.storm.kafka.spout.KafkaSpout(org.apache.storm.kafka.spout.KafkaSpoutConfig)",328,0.093340922026181
"org.apache.storm.kafka.spout.KafkaSpout()",2761,0.7857142857142857
"public default java.util.Comparator java.util.Comparator.reversed()",2856,0.8127490039840638
"public void org.apache.storm.kafka.spout.KafkaSpout.setAcked(org.apache.kafka.common.TopicPartition,long)",36,0.010244735344336939
"org.apache.storm.kafka.spout.KafkaSpout$OffsetComparator()",3903,1.1107000569151964
"public transient int org.apache.storm.kafka.spout.KafkaSpout.maxRetries",200,0.056915196357427436
"public transient int org.apache.storm.kafka.spout.KafkaSpout.maxRetries",312,0.0887877063175868
"public transient org.apache.storm.kafka.spout.KafkaSpout$Timer org.apache.storm.kafka.spout.KafkaSpout.commitTimer",69,0.019635742743312465
"public void org.apache.storm.kafka.spout.KafkaSpout.setWaitingToEmit(org.apache.kafka.clients.consumer.ConsumerRecords)",52,0.014797951052931132
"public boolean org.apache.storm.kafka.spout.KafkaSpout.commit()",54,0.015367103016505406
