Methods called,Number of times,Number of times (Normalized)
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.discriminator(io.swagger.oas.models.media.Discriminator)",1645,0.11931529701893087
"public java.lang.Object io.swagger.oas.models.media.Schema.getDefault()",194,0.014071226517734098
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.format(java.lang.String)",3941,0.28584898817726845
"public java.lang.Boolean io.swagger.oas.models.media.Schema.getNullable()",1105,0.08014796547472257
"public java.util.Map io.swagger.oas.models.media.Schema.getProperties()",1739,0.1261333139914412
"public static java.util.Optional io.swagger.jaxrs2.OperationParser.getInfo(io.swagger.oas.annotations.info.Info)",1,7.253209545223762E-5
"io.swagger.oas.annotations.links.LinkParameter[1]",2,1.4506419090447523E-4
"public java.lang.Object java.util.Optional.get()",1177,0.08537027634728367
"io.swagger.oas.annotations.links.LinkParameter[0]",60,0.004351925727134257
"public void io.swagger.oas.models.media.Schema.addEnumItemObject(java.lang.Object)",3378,0.24501341843765867
"public void io.swagger.oas.models.media.Schema.setUniqueItems(java.lang.Boolean)",2308,0.16740407630376442
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.additionalProperties(io.swagger.oas.models.media.Schema)",17234,1.250018133023863
"public void io.swagger.oas.models.media.Schema.setMinimum(java.math.BigDecimal)",588,0.04264887212591572
"public java.lang.String io.swagger.oas.models.media.Schema.getPattern()",1321,0.09581489809240588
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.maxLength(java.lang.Integer)",1803,0.13077536810038443
"public java.lang.Boolean io.swagger.oas.models.media.Schema.getReadOnly()",1003,0.07274969173859433
"public java.lang.String io.swagger.oas.models.media.Schema.getType()",852,0.061797345325306445
"public void io.swagger.oas.models.media.Schema.setDiscriminator(io.swagger.oas.models.media.Discriminator)",672,0.04874156814390368
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.title(java.lang.String)",1698,0.12315949807789947
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.type(java.lang.String)",3304,0.23964604337419307
"public void io.swagger.oas.models.media.Schema.setEnum(java.util.List)",2640,0.1914847319939073
"public void io.swagger.oas.models.media.Schema.setMaximum(java.math.BigDecimal)",2266,0.16435772829477044
"public static java.util.Optional io.swagger.jaxrs2.OperationParser.getExternalDocumentation(io.swagger.oas.annotations.ExternalDocumentation)",1,7.253209545223762E-5
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.deprecated(java.lang.Boolean)",3527,0.2558207006600421
"public void io.swagger.oas.models.media.Schema.setProperties(java.util.Map)",603,0.04373685355769928
"public static java.util.Optional io.swagger.jaxrs2.OperationParser.getParameter(io.swagger.oas.annotations.Parameter,io.swagger.oas.models.Components)",1,7.253209545223762E-5
"public void io.swagger.oas.models.media.Schema.setMultipleOf(java.math.BigDecimal)",518,0.037571625444259085
"public java.lang.Integer io.swagger.oas.models.media.Schema.getMinProperties()",1248,0.09052005512439254
"public void io.swagger.oas.models.media.Schema.setMinItems(java.lang.Integer)",733,0.05316602596649017
"public void io.swagger.oas.models.media.Schema.setRequired(java.util.List)",1668,0.12098353521433235
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.writeOnly(java.lang.Boolean)",1686,0.12228911293247262
"public java.lang.String io.swagger.oas.models.media.Schema.getFormat()",1461,0.10596939145571915
"public java.lang.Boolean io.swagger.oas.models.media.Schema.getUniqueItems()",2376,0.17233625879451658
"public void io.swagger.oas.models.media.Schema.setPattern(java.lang.String)",914,0.06629433524334519
"public void io.swagger.oas.models.media.Schema.addExtension(java.lang.String,java.lang.Object)",1076,0.07804453470660767
"public java.lang.String io.swagger.oas.models.media.Schema.getDescription()",1964,0.14245303546819468
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.not(io.swagger.oas.models.media.Schema)",4464,0.3237832740987887
"public static java.util.Optional io.swagger.jaxrs2.OperationParser.getServers(io.swagger.oas.annotations.servers.Server[])",170,0.012330456226880395
