Methods called,Number of times,Number of times (Normalized)
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.discriminator(io.swagger.oas.models.media.Discriminator)",2921,0.16953972952579952
"public java.lang.Object io.swagger.oas.models.media.Schema.getDefault()",152,0.008822334436125137
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.format(java.lang.String)",5561,0.32276974867955194
"public java.lang.Boolean io.swagger.oas.models.media.Schema.getNullable()",1292,0.07498984270706367
"java.lang.String[30]",1,5.804167392187591E-5
"public java.util.Map io.swagger.oas.models.media.Schema.getProperties()",1453,0.0843345522084857
"public static java.util.Optional io.swagger.jaxrs2.OperationParser.getInfo(io.swagger.oas.annotations.info.Info)",1,5.804167392187591E-5
"io.swagger.oas.annotations.media.Content[1]",2,1.1608334784375181E-4
"io.swagger.oas.annotations.media.Content[0]",196,0.011376168088687678
"io.swagger.oas.annotations.links.Link[1]",5,2.9020836960937953E-4
"public void io.swagger.oas.models.media.Schema.addEnumItemObject(java.lang.Object)",1128,0.06547100818387602
"public void io.swagger.oas.models.media.Schema.setUniqueItems(java.lang.Boolean)",1747,0.10139880434151721
"io.swagger.oas.annotations.links.Link[0]",6,3.4825004353125546E-4
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.additionalProperties(io.swagger.oas.models.media.Schema)",2121,0.12310639038829879
"public void io.swagger.oas.models.media.Schema.setMinimum(java.math.BigDecimal)",3294,0.19118927389865925
"io.swagger.oas.annotations.Parameter[1]",3,1.7412502176562773E-4
"public java.lang.String io.swagger.oas.models.media.Schema.getPattern()",2085,0.12101689012711127
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.maxLength(java.lang.Integer)",6603,0.38324917290614663
"public java.lang.Boolean io.swagger.oas.models.media.Schema.getReadOnly()",648,0.037611004701375586
"io.swagger.oas.annotations.Parameter[0]",4,2.3216669568750363E-4
"public java.lang.String io.swagger.oas.models.media.Schema.getType()",1287,0.07469963433745429
"public void io.swagger.oas.models.media.Schema.setDiscriminator(io.swagger.oas.models.media.Discriminator)",781,0.04533054733298508
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.title(java.lang.String)",2698,0.1565964362412212
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.type(java.lang.String)",19880,1.153868477566893
"public void io.swagger.oas.models.media.Schema.setEnum(java.util.List)",1692,0.09820651227581403
"io.swagger.oas.annotations.links.LinkParameter[1]",1,5.804167392187591E-5
"public void io.swagger.oas.models.media.Schema.setMaximum(java.math.BigDecimal)",842,0.04887108944221951
"io.swagger.oas.annotations.links.LinkParameter[0]",67,0.003888792152765686
"public static java.util.Optional io.swagger.jaxrs2.OperationParser.getExternalDocumentation(io.swagger.oas.annotations.ExternalDocumentation)",1,5.804167392187591E-5
"public void io.swagger.oas.models.media.Schema.setProperties(java.util.Map)",647,0.037552963027453715
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.deprecated(java.lang.Boolean)",2342,0.13593360032503338
"public static java.util.Optional io.swagger.jaxrs2.OperationParser.getParameter(io.swagger.oas.annotations.Parameter,io.swagger.oas.models.Components)",1,5.804167392187591E-5
"public void io.swagger.oas.models.media.Schema.setMultipleOf(java.math.BigDecimal)",1212,0.0703465087933136
"public java.lang.Integer io.swagger.oas.models.media.Schema.getMinProperties()",820,0.04759417261593824
"public void io.swagger.oas.models.media.Schema.setMinItems(java.lang.Integer)",968,0.05618434035637588
"public void io.swagger.oas.models.media.Schema.setRequired(java.util.List)",4558,0.2645539497359104
