Methods called,Number of times,Number of times (Normalized)
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.discriminator(io.swagger.oas.models.media.Discriminator)",2486,0.19487340283765775
"public java.lang.Object io.swagger.oas.models.media.Schema.getDefault()",370,0.029003684251783336
"public java.lang.Boolean io.swagger.oas.models.media.Schema.getNullable()",995,0.07799639413655247
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.format(java.lang.String)",10495,0.8226855843850435
"public java.util.Map io.swagger.oas.models.media.Schema.getProperties()",594,0.0465626714744846
"public static java.util.Optional io.swagger.jaxrs2.OperationParser.getInfo(io.swagger.oas.annotations.info.Info)",1,7.838833581563063E-5
"public java.lang.Object java.util.Optional.get()",267,0.020929685662773378
"public void io.swagger.oas.models.media.Schema.addEnumItemObject(java.lang.Object)",455,0.03566669279611194
"public void io.swagger.oas.models.media.Schema.setUniqueItems(java.lang.Boolean)",462,0.03621541114682135
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.additionalProperties(io.swagger.oas.models.media.Schema)",3310,0.2594653915497374
"public void io.swagger.oas.models.media.Schema.setMinimum(java.math.BigDecimal)",872,0.06835462883122992
"public java.lang.String io.swagger.oas.models.media.Schema.getPattern()",1024,0.08026965587520576
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.maxLength(java.lang.Integer)",1641,0.12863525907344986
"public java.lang.Boolean io.swagger.oas.models.media.Schema.getReadOnly()",1792,0.1404718977816101
"public java.lang.String io.swagger.oas.models.media.Schema.getType()",505,0.03958610958689347
"public void io.swagger.oas.models.media.Schema.setDiscriminator(io.swagger.oas.models.media.Discriminator)",1188,0.0931253429489692
"io.swagger.oas.models.servers.Server[0]",1475,0.11562279532805518
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.title(java.lang.String)",4452,0.3489848710511876
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.type(java.lang.String)",2862,0.22434741710433487
"public void io.swagger.oas.models.media.Schema.setEnum(java.util.List)",837,0.06561103707768284
"public void io.swagger.oas.models.media.Schema.setMaximum(java.math.BigDecimal)",1838,0.1440777612291291
"public static java.util.Optional io.swagger.jaxrs2.OperationParser.getExternalDocumentation(io.swagger.oas.annotations.ExternalDocumentation)",1,7.838833581563063E-5
"public io.swagger.oas.models.media.Schema io.swagger.oas.models.media.Schema.deprecated(java.lang.Boolean)",1687,0.13224112252096887
