Methods called,Number of times,Number of times (Normalized)
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.setTypesToSkip(java.util.Set)",8323,0.8673405585660692
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.setTypesToSkip(java.util.List)",2443,0.25458524385160486
"io.swagger.models.SecurityRequirement[0]",4348,0.4531054606085869
"public java.util.Map com.github.kongchen.swagger.docgen.reader.AbstractReader.updateTagsForApi(java.util.Map,io.swagger.annotations.Api)",706,0.07357232180075031
"public java.lang.String[] com.github.kongchen.swagger.docgen.reader.AbstractReader.updateOperationProduces(java.lang.String[],java.lang.String[],io.swagger.models.Operation)",129,0.013443101292205085
"public java.util.Set com.github.kongchen.swagger.docgen.reader.AbstractReader.getTypesToSkip()",6558,0.6834097540641935
"public java.lang.String[] com.github.kongchen.swagger.docgen.reader.AbstractReader.updateOperationConsumes(java.lang.String[],java.lang.String[],io.swagger.models.Operation)",363,0.03782826177573989
"public java.lang.String com.github.kongchen.swagger.docgen.reader.AbstractReader.parseOperationPath(java.lang.String,java.util.Map)",8256,0.8603584827011255
"public java.util.Set com.github.kongchen.swagger.docgen.reader.AbstractReader.typesToSkip",16037,1.671217173822426
"public java.util.Set com.github.kongchen.swagger.docgen.reader.AbstractReader.typesToSkip",9586,0.9989578991246353
"public java.util.List com.github.kongchen.swagger.docgen.reader.AbstractReader.getParameters(java.lang.reflect.Type,java.util.List)",24689,2.572842851187995
"public static boolean java.util.Collections.addAll(java.util.Collection,java.lang.Object[])",35162,3.6642350979574823
"io.swagger.annotations.ResponseHeader[1]",8,8.336807002917883E-4
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.updateExtensionChain()",6642,0.6921634014172572
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.updateOperationProtocols(io.swagger.annotations.ApiOperation,io.swagger.models.Operation)",675,0.07034180908711964
"public java.util.Map com.github.kongchen.swagger.docgen.reader.AbstractReader.parseResponseHeaders(io.swagger.annotations.ResponseHeader[])",23076,2.404751979991663
"io.swagger.annotations.ResponseHeader[0]",14125,1.4719674864526886
"java.lang.reflect.Type[0]",1538,0.16027511463109628
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.updatePath(java.lang.String,java.lang.String,io.swagger.models.Operation)",713,0.07430179241350562
"java.lang.reflect.Type[1]",5247,0.5467903293038766
"public java.util.Set com.github.kongchen.swagger.docgen.reader.AbstractReader.extractTags(io.swagger.annotations.Api)",707,0.07367653188828678
"java.util.ArrayList()",29335,3.057002917882451
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.updateOperationParameters(java.util.List,java.util.Map,io.swagger.models.Operation)",255,0.02657357232180075
"public com.github.kongchen.swagger.docgen.LogAdapter com.github.kongchen.swagger.docgen.reader.AbstractReader.LOG",5716,0.5956648603584827
"public com.github.kongchen.swagger.docgen.LogAdapter com.github.kongchen.swagger.docgen.reader.AbstractReader.LOG",4475,0.466340141725719
"public java.util.List com.github.kongchen.swagger.docgen.reader.AbstractReader.getSecurityRequirements(io.swagger.annotations.Api)",675,0.07034180908711964
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.updateTagsForOperation(io.swagger.models.Operation,io.swagger.annotations.ApiOperation)",4353,0.4536265110462693
"io.swagger.models.parameters.Parameter[0]",30,0.003126302626094206
"public boolean com.github.kongchen.swagger.docgen.reader.AbstractReader.canReadApi(boolean,io.swagger.annotations.Api)",4543,0.47342642767819926
"public final native java.lang.Class java.lang.Object.getClass()",13074,1.362442684451855
"java.util.LinkedHashSet()",5827,0.6072321800750312
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.updateApiResponse(io.swagger.models.Operation,io.swagger.annotations.ApiResponses)",713,0.07430179241350562
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.readImplicitParameters(java.lang.reflect.Method,io.swagger.models.Operation)",654,0.06815339724885369
"public boolean com.github.kongchen.swagger.docgen.reader.AbstractReader.hasValidAnnotations(java.util.List)",9332,0.972488536890371
"com.github.kongchen.swagger.docgen.reader.SpringMvcApiReader(io.swagger.models.Swagger, com.github.kongchen.swagger.docgen.LogAdapter)",39433,4.109316381825761
"java.lang.String[3]",4301,0.44820758649437265
"java.lang.String[4]",10,0.0010421008753647354
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.addTypeToSkippedTypes(java.lang.reflect.Type)",9081,0.9463318049187162
"java.lang.String[5]",230,0.023968320133388912
"public io.swagger.models.Swagger com.github.kongchen.swagger.docgen.reader.SpringMvcApiReader.read(com.github.kongchen.swagger.docgen.spring.SpringResource)",667,0.06950812838682785
"java.lang.Object()",11083,1.1549604001667362
"public void com.github.kongchen.swagger.docgen.reader.AbstractReader.updateOperation(java.lang.String[],java.lang.String[],java.util.Map,java.util.List,io.swagger.models.Operation)",5158,0.5375156315131304
"java.lang.String[6]",597,0.062213422259274696
"java.lang.String[0]",7,7.294706127553147E-4
"java.lang.annotation.Annotation[0]",23999,2.5009378907878284
"java.lang.String[1]",5,5.210504376823677E-4
"java.lang.String[2]",4303,0.4484160066694456
"public io.swagger.models.Swagger com.github.kongchen.swagger.docgen.reader.AbstractReader.swagger",7016,0.7311379741558983
"public io.swagger.models.Swagger com.github.kongchen.swagger.docgen.reader.AbstractReader.swagger",7016,0.7311379741558983
